event_id,attack_type_id
202001010001,7
202001010002,3
202001010003,3
202001010005,3
202001010006,3
202001010010,3
202001010010,2
202001010011,1
202001010015,7
202001010016,2
202001010019,3
202001010022,3
202001010025,8
202001020001,2
202001020002,6
202001020004,2
202001020005,1
202001020006,2
202001020007,6
202001020007,2
202001020007,7
202001020008,2
202001020008,7
202001020009,2
202001020009,7
202001020012,1
202001020013,6
202001020013,7
202001020014,2
202001020016,1
202001020017,2
202001020019,2
202001020020,2
202001020024,6
202001030001,2
202001030002,2
202001030003,2
202001030003,7
202001030005,2
202001030006,7
202001030007,7
202001030008,6
202001030009,7
202001030011,6
202001030012,3
202001030015,3
202001030016,6
202001030018,1
202001040001,3
202001040002,3
202001040003,2
202001040004,3
202001040005,1
202001040006,3
202001040007,2
202001040008,3
202001040010,3
202001040011,3
202001040012,3
202001040013,3
202001040014,3
202001040015,1
202001050002,2
202001050005,2
202001050006,2
202001050007,2
202001050008,2
202001050009,8
202001050010,1
202001050011,3
202001050012,3
202001050015,3
202001050016,3
202001050017,3
202001050018,3
202001050019,3
202001050021,5
202001050022,6
202001050026,7
202001050028,1
202001050033,3
202001050034,3
202001050035,7
202001050036,2
202001060004,3
202001060007,3
202001060008,6
202001060009,2
202001060014,2
202001060016,3
202001060018,2
202001060019,6
202001060021,3
202001070001,3
202001070002,3
202001070002,2
202001070004,3
202001070006,2
202001070007,1
202001070009,3
202001070011,2
202001070013,2
202001070014,3
202001070015,7
202001070016,2
202001070018,1
202001070020,2
202001070021,3
202001070022,2
202001070022,7
202001070023,7
202001080002,3
202001080003,3
202001080004,7
202001080005,3
202001080006,2
202001080009,3
202001080010,3
202001080011,1
202001080012,3
202001080013,3
202001080017,2
202001080018,2
202001090002,7
202001090003,2
202001090004,2
202001090005,3
202001090006,1
202001090007,8
202001090007,7
202001090009,2
202001090011,3
202001090013,2
202001090014,3
202001090015,2
202001090016,1
202001090017,1
202001090020,1
202001090021,3
202001090023,2
202001090024,2
202001090025,7
202001090026,3
202001090030,6
202001100001,3
202001100002,1
202001100004,3
202001100007,3
202001100008,3
202001100008,2
202001100009,7
202001100010,2
202001100011,2
202001100012,2
202001100013,1
202001100014,6
202001100014,2
202001100017,6
202001100017,7
202001100019,7
202001100020,7
202001100021,2
202001100022,2
202001110001,1
202001110002,3
202001110005,1
202001110006,7
202001110008,1
202001110009,1
202001110015,2
202001110016,2
202001110017,1
202001110018,3
202001110020,7
202001110021,7
202001110022,3
202001110025,3
202001110026,3
202001110027,2
202001120001,2
202001120002,1
202001120004,3
202001120005,3
202001120006,3
202001120007,2
202001120011,7
202001120013,2
202001120014,2
202001120017,3
202001120019,3
202001120020,3
202001130001,3
202001130001,7
202001130002,6
202001130002,2
202001130003,2
202001130004,3
202001130010,3
202001130011,3
202001130015,3
202001130016,7
202001130017,2
202001130020,6
202001140002,3
202001140003,3
202001140004,2
202001140005,3
202001140006,1
202001140007,3
202001140008,3
202001140009,3
202001140012,3
202001140013,6
202001140019,1
202001140020,1
202001140021,3
202001140022,1
202001140023,7
202001140025,6
202001140026,7
202001150002,2
202001150003,2
202001150004,1
202001150004,6
202001150005,2
202001150006,3
202001150007,3
202001150009,2
202001150010,2
202001150012,2
202001150014,3
202001150016,7
202001150017,2
202001150017,7
202001150019,2
202001150019,7
202001150023,2
202001150026,6
202001150026,2
202001150028,2
202001160002,6
202001160003,3
202001160004,3
202001160005,3
202001160006,3
202001160007,1
202001160009,3
202001160016,3
202001160017,3
202001160018,7
202001160019,7
202001160020,7
202001160021,7
202001160022,7
202001160027,3
202001160028,3
202001160031,3
202001160032,2
202001160032,7
202001160033,7
202001160035,7
202001160036,7
202001160037,3
202001160039,2
202001170002,3
202001170003,3
202001170004,2
202001170005,3
202001170007,2
202001170009,3
202001170010,3
202001170012,3
202001170013,7
202001170014,7
202001170015,7
202001170019,2
202001170020,1
202001170020,6
202001170024,6
202001170025,7
202001170026,2
202001170027,2
202001170028,6
202001170028,7
202001180001,3
202001180002,2
202001180003,6
202001180003,2
202001180003,7
202001180004,2
202001180007,3
202001180010,1
202001180011,3
202001180011,2
202001180012,2
202001180014,6
202001180015,6
202001180015,7
202001180017,2
202001190001,1
202001190002,2
202001190005,3
202001190006,3
202001190007,3
202001190008,2
202001190009,2
202001190010,2
202001190011,3
202001190011,2
202001190012,8
202001190012,7
202001190015,6
202001190015,2
202001190016,3
202001190017,3
202001190018,3
202001190020,2
202001190021,3
202001200001,2
202001200002,2
202001200003,2
202001200004,2
202001200005,3
202001200010,1
202001200011,2
202001200012,1
202001200013,7
202001200014,7
202001200015,7
202001200016,7
202001200017,7
202001200018,7
202001200019,3
202001200022,3
202001200023,2
202001200024,2
202001200026,2
202001200027,7
202001200029,2
202001210001,3
202001210002,2
202001210007,7
202001210009,7
202001210010,7
202001210011,7
202001210012,7
202001210015,3
202001210017,2
202001210020,1
202001210021,2
202001210024,3
202001210025,7
202001210026,2
202001210027,2
202001210028,1
202001210029,3
202001210030,3
202001210031,7
202001220001,3
202001220002,1
202001220003,2
202001220004,7
202001220005,7
202001220006,7
202001220007,7
202001220008,7
202001220009,7
202001220010,7
202001220011,3
202001220012,3
202001220013,1
202001220014,6
202001220015,2
202001220016,1
202001220017,2
202001220017,7
202001220022,3
202001220023,3
202001220024,7
202001220025,3
202001220025,7
202001220029,2
202001220030,2
202001220031,3
202001220034,6
202001220034,7
202001230001,6
