event_id,target_type_id,target_subtype_id,nationality_id
202001010001,16,90,141
202001010002,16,90,141
202001010003,14,67,200
202001010005,14,73,4
202001010006,8,49,19
202001010010,3,25,153
202001010010,4,39,153
202001010011,2,15,153
202001010015,2,21,37
202001010016,2,18,76
202001010019,17,94,4
202001010022,7,47,422
202001010025,14,68,603
202001020001,19,99,104
202001020001,3,25,104
202001020002,10,54,4
202001020004,3,25,4
202001020005,2,18,65
202001020006,4,34,97
202001020007,14,67,147
202001020008,14,67,147
202001020009,14,67,147
202001020012,2,15,228
202001020013,1,12,92
202001020014,3,24,95
202001020016,2,15,160
202001020017,14,67,95
202001020019,4,27,4
202001020020,4,27,422
202001020020,14,67,182
202001020024,14,113,60
202001030001,14,67,69
202001030002,3,24,4
202001030003,14,75,147
202001030005,14,75,147
202001030005,2,15,147
202001030005,15,85,147
202001030006,5,40,217
202001030007,15,86,43
202001030008,14,113,92
202001030009,14,73,43
202001030011,14,67,104
202001030012,14,67,228
202001030015,14,67,4
202001030016,14,113,182
202001030018,17,94,200
202001040001,14,70,33
202001040002,14,67,4
202001040003,4,34,147
202001040004,3,25,92
202001040005,14,68,160
202001040006,14,76,233
202001040007,14,83,95
202001040008,3,22,45
202001040010,14,74,95
202001040011,1,8,95
202001040012,4,27,95
202001040013,14,67,4
202001040014,4,35,200
202001040014,17,94,200
202001040015,4,34,95
202001050002,4,27,104
202001050002,4,34,217
202001050002,1,13,217
202001050005,3,25,75
202001050006,3,25,69
202001050007,14,71,153
202001050008,3,24,4
202001050009,8,49,92
202001050010,2,15,228
202001050011,4,27,4
202001050012,4,33,182
202001050015,4,29,138
202001050016,22,111,19
202001050017,8,49,19
202001050018,8,50,160
202001050019,4,29,153
202001050021,1,11,19
202001050022,14,77,200
202001050026,14,71,97
202001050028,3,23,4
202001050033,14,67,95
202001050034,13,66,422
202001050034,14,67,95
202001050035,2,15,37
202001050036,3,22,44
202001060004,2,21,78
202001060007,14,74,147
202001060007,14,67,37
202001060008,2,15,37
202001060009,1,2,89
202001060014,3,22,147
202001060016,15,86,95
202001060018,14,75,147
202001060019,14,68,45
202001060021,14,83,95
202001070001,4,39,153
202001070001,14,67,153
202001070002,14,67,147
202001070002,4,29,147
202001070004,4,27,228
202001070006,3,22,104
