event_id,weapon_type_id,weapon_subtype_id
202001010001,8,18
202001010002,6,16
202001010003,6,15
202001010005,6,8
202001010006,6,17
202001010010,6,16
202001010010,5,5
202001010011,6,7
202001010015,8,18
202001010016,5,5
202001010019,6,8
202001010022,6,16
202001010025,9,21
202001020001,5,2
202001020002,5,5
202001020004,5,5
202001020005,5,5
202001020006,9,23
202001020007,5,5
202001020007,9,23
202001020008,5,5
202001020009,5,5
202001020012,5,5
202001020013,5,5
202001020013,8,18
202001020014,5,2
202001020016,5,5
202001020017,6,7
202001020017,5,5
202001020019,5,5
202001020020,6,11
202001020020,5,5
202001020024,5,2
202001030001,9,23
202001030002,5,5
202001030003,5,5
202001030003,8,18
202001030005,5,5
202001030005,8,18
202001030006,8,19
202001030007,8,20
202001030008,5,5
202001030009,5,5
202001030009,8,18
202001030011,5,5
202001030012,6,11
202001030015,6,16
202001030016,5,5
202001030018,6,15
202001040001,6,8
202001040002,6,29
202001040003,6,11
202001040003,5,2
202001040004,6,7
202001040005,5,5
202001040006,6,31
202001040007,5,5
202001040008,6,7
202001040010,6,11
202001040011,6,11
202001040012,6,11
202001040013,6,16
202001040014,6,8
202001040015,5,5
202001040015,9,23
202001050002,6,11
202001050002,5,2
202001050005,9,23
202001050005,9,21
202001050006,9,23
202001050007,5,5
202001050008,5,5
202001050009,9,21
202001050010,5,5
202001050011,6,15
202001050012,6,15
202001050015,6,8
202001050016,6,17
202001050017,6,17
202001050018,6,11
202001050019,6,16
202001050021,9,23
202001050022,5,5
202001050026,8,20
202001050026,9,23
202001050028,6,29
202001050033,6,11
202001050034,6,11
202001050035,8,18
202001050036,8,19
202001060004,6,17
202001060007,6,7
202001060008,5,5
202001060009,8,19
202001060014,5,5
202001060016,6,16
202001060018,5,5
202001060019,5,5
202001060021,6,16
202001070001,6,15
202001070002,6,15
202001070002,6,11
202001070002,5,2
202001070004,6,11
202001070006,5,2
202001070007,5,5
202001070009,6,8
202001070011,5,5
202001070013,5,2
202001070014,6,11
202001070015,8,18
202001070016,5,5
202001070018,5,5
202001070020,6,7
202001070020,5,2
202001070021,6,16
202001070022,5,5
202001070022,8,18
202001070023,8,18
202001080002,6,7
202001080003,6,15
202001080004,8,18
202001080005,6,15
202001080006,5,3
202001080006,9,23
202001080009,6,7
202001080010,6,7
202001080011,5,5
202001080012,6,11
202001080013,6,31
202001080017,5,5
202001080018,5,5
202001090002,8,18
202001090003,5,5
202001090004,8,19
202001090005,6,11
202001090006,5,5
202001090007,9,27
202001090009,9,23
202001090011,6,17
202001090013,5,5
202001090014,6,11
202001090015,6,7
202001090015,5,2
202001090016,8,18
202001090017,5,5
202001090020,5,3
202001090021,6,16
202001090023,5,5
202001090024,5,5
202001090025,8,18
202001090026,6,16
202001090030,5,3
202001100001,6,13
202001100002,5,2
202001100004,6,12
202001100007,6,11
202001100008,6,17
202001100008,5,2
202001100009,5,2
202001100010,5,5
202001100011,5,5
202001100012,5,5
202001100013,5,5
202001100014,5,5
202001100017,8,18
202001100019,8,18
202001100020,8,18
202001100021,5,5
202001100022,5,5
202001110001,5,5
202001110002,6,17
202001110005,6,16
202001110006,8,18
202001110008,5,5
202001110009,5,5
202001110015,5,2
202001110016,5,5
202001110017,5,2
202001110018,6,7
202001110020,8,18
202001110021,8,18
202001110022,6,8
202001110025,6,15
202001110026,6,16
202001110027,5,5
202001120001,5,2
202001120002,5,5
202001120004,6,11
202001120005,6,13
202001120006,6,11
202001120007,6,11
202001120007,5,5
202001120011,8,18
202001120013,5,5
202001120014,5,5
202001120017,6,11
202001120019,6,16
202001120020,6,16
202001130001,6,16
202001130001,8,18
202001130002,5,5
202001130003,5,5
202001130003,8,18
202001130004,6,16
