nationality_id,nationality_txt
4,Afghanistan
5,Albania
6,Algeria
8,Angola
11,Argentina
12,Armenia
14,Australia
15,Austria
16,Azerbaijan
19,Bangladesh
21,Belgium
23,Benin
26,Bolivia
30,Brazil
32,Bulgaria
33,Burkina Faso
34,Burundi
35,Belarus
37,Cameroon
38,Canada
41,Central African Republic
42,Chad
43,Chile
44,China
45,Colombia
50,Croatia
53,Cyprus
57,Dominica
59,Ecuador
60,Egypt
63,Eritrea
64,Estonia
65,Ethiopia
68,Finland
69,France
74,Georgia
75,Germany
76,Ghana
78,Greece
83,Guatemala
86,Guyana
87,Haiti
88,Honduras
89,Hong Kong
92,India
93,Indonesia
94,Iran
95,Iraq
96,Ireland
97,Israel
98,Italy
99,Ivory Coast
103,Kazakhstan
104,Kenya
107,Kyrgyzstan
110,Lebanon
113,Libya
122,Maldives
123,Mali
130,Mexico
137,Mozambique
138,Myanmar
141,Nepal
142,Netherlands
143,New Caledonia
144,New Zealand
145,Nicaragua
146,Niger
147,Nigeria
151,Norway
153,Pakistan
155,West Bank and Gaza Strip
158,Paraguay
159,Peru
160,Philippines
161,Poland
162,Portugal
167,Russia
168,Rwanda
173,Saudi Arabia
177,Sierra Leone
178,Singapore
182,Somalia
183,South Africa
186,Sri Lanka
190,St. Lucia
195,Sudan
196,Suriname
198,Sweden
199,Switzerland
200,Syria
203,Tanzania
205,Thailand
207,Trinidad and Tobago
208,Tunisia
209,Turkey
213,Uganda
214,Ukraine
215,United Arab Emirates
216,Great Britain
217,United States
219,Uzbekistan
222,Venezuela
223,Vietnam
228,Yemen
229,Democratic Republic of the Congo
231,Zimbabwe
233,Northern Ireland
422,International
603,United Kingdom
999,Multinational
1003,Kosovo
1004,South Sudan
