event_id,country_id,provstate,city,crit1,crit2,crit3,doubtterr,alternative_id,multiple,success,suicide,nkill,nkillus,nkillter
202001010001,141,Bagmati,Jurethum,1,1,1,0,0,0,1,0,0,0,0
202001010002,141,Karnali,Pipira,1,1,1,0,0,0,0,0,0,0,0
202001010003,200,Raqqah,Suluk,1,1,1,0,0,0,1,0,3,0,0
202001010005,4,Farah,Farah,1,1,1,0,0,0,1,0,3,0,0
202001010006,19,Dhaka,Dhaka,1,1,1,0,0,0,1,0,0,0,0
202001010010,153,Khyber Pakhtunkhwa,Mir Ali,1,1,0,1,1,0,1,0,1,0,0
202001010011,153,Khyber Pakhtunkhwa,Ghaki,1,1,1,0,0,0,0,0,0,0,0
202001010015,37,South-West,Muyuka,1,1,1,0,0,0,1,0,0,0,0
202001010016,76,North East,Gbintri,1,1,1,0,0,0,1,0,1,0,0
202001010019,4,Helmand,Punjab Qala,1,1,1,0,0,0,1,0,13,0,0
202001010022,123,Gao,Gao,1,1,1,0,0,0,1,0,0,0,0
202001010025,603,Northern Ireland,Carrickfergus,0,1,1,1,2,0,1,0,1,0,0
202001020001,104,Lamu,Nyangoro,1,1,1,0,0,0,1,0,3,0,0
202001020002,4,Helmand,Lashkar Gah,1,1,1,0,0,0,1,0,1,0,0
202001020004,4,Herat,Saq-dan,1,1,1,0,0,0,1,0,1,0,0
202001020005,65,Oromia,Bengua,1,1,1,0,0,0,1,0,1,0,0
202001020006,155,West Bank,Alon Shvut,1,1,0,1,1,0,0,0,0,0,0
202001020007,147,Adamawa,Bazza,1,1,1,0,0,1,1,0,6,0,5
202001020008,147,Adamawa,Kwuapale,1,1,1,0,0,1,1,0,5,0,5
202001020009,147,Adamawa,Kwuapa,1,1,1,0,0,1,1,0,5,0,5
202001020012,228,Taizz,Taizz,1,1,1,0,0,0,0,0,0,0,0
202001020013,92,Jharkhand,Keredari,1,1,1,0,0,0,1,0,0,0,0
202001020014,95,Diyala,Agha Jan,1,1,1,0,0,0,1,0,1,0,0
202001020016,160,Laguna,San Vicente,1,1,1,0,0,0,1,0,1,0,0
202001020017,95,Diyala,Abu Sayda,0,1,1,1,2,0,1,0,3,0,0
202001020019,4,Samangan,Dara-i-Sufi Payin district,1,1,0,1,1,0,1,0,11,0,5
202001020020,182,Lower Shebelle,Buufow,1,1,1,0,0,0,1,0,0,0,0
202001020024,60,North Sinai,Jaal,1,1,1,0,0,0,1,0,1,0,0
202001030001,69,Ile-de-France,Villejuif,1,1,1,0,0,0,1,1,2,0,1
202001030002,4,Kunduz,Qahwa Khana,1,1,1,0,0,0,1,0,8,0,8
202001030003,147,Borno,Bila Amboldar,1,1,1,0,0,0,1,0,3,0,0
202001030005,147,Kogi,Tawari,1,1,1,0,0,0,1,0,29,0,0
202001030006,217,Delaware,Newark,1,1,1,0,0,0,1,0,0,0,0
